bucket,LMT_MID_median_bps,LMT_MID_n,LMT_MID_entry_n,MIDPRICE_NATIVE_median_bps,MIDPRICE_NATIVE_n,MIDPRICE_NATIVE_entry_n,MKT_ADAPTIVE_median_bps,MKT_ADAPTIVE_n,MKT_ADAPTIVE_entry_n,MKT_RAW_median_bps,MKT_RAW_n,MKT_RAW_entry_n
CFD_FX,,0,0,,0,0,,0,0,,0,0
EU_STK_LSE,0.0000,5,5,,0,0,0.1616,5,5,1.0514,26,8
EU_STK_SIX,0.0000,1,1,,0,0,1.1456,3,3,1.9370,20,8
EU_STK_XETRA,-0.1381,8,8,,0,0,0.0000,4,4,0.1379,28,8
FUT_CFE,12.9366,3,3,,0,0,12.8700,1,1,12.9366,8,2
FUT_CME,-0.1708,4,4,,0,0,-0.0005,4,4,0.1714,16,4
FUT_NYBOT,,0,0,,0,0,,0,0,,0,0
FX_IDEALPRO,0.0216,4,4,,0,0,,0,0,0.0641,12,4
US_ETF,-0.0770,4,4,-0.1376,4,4,-0.1035,4,4,0.2070,20,4
US_SMALL_CAP_STK,-1.0899,4,4,-0.0000,5,5,-0.9211,5,5,6.8274,18,2
US_STK,-0.1762,4,4,-2.0278,4,4,-0.7928,4,4,-0.2642,20,4
