bucket,LMT_MID_median_bps,LMT_MID_n,MIDPRICE_NATIVE_median_bps,MIDPRICE_NATIVE_n,MKT_ADAPTIVE_median_bps,MKT_ADAPTIVE_n,MKT_RAW_median_bps,MKT_RAW_n
CFD_FX,,0,,0,,0,,0
EU_STK_LSE,0.0808,1,,0,,0,0.4044,7
EU_STK_SIX,,0,,0,-1.1485,1,,0
EU_STK_XETRA,0.4144,2,,0,-0.1382,3,,0
FUT_CFE,12.8041,17,,0,-0.0328,4,12.8041,63
FUT_CME,-0.1719,30,,0,-0.1716,17,0.1718,91
FUT_NYBOT,,0,,0,,0,,0
FX_IDEALPRO,-0.2137,28,,0,,0,0.0427,66
US_ETF,0.0000,72,-0.4624,62,0.3456,47,0.4606,270
US_SMALL_CAP_STK,-2.3468,10,-2.4459,3,0.1229,6,19.8574,59
US_STK,-0.1786,27,-0.5311,27,-0.1781,17,0.8009,100
